,Unnamed: 0,title,date,stock,sub_category,sub_category_predicted_score,parent_category,parent_predicted_score,TRUE LABEL
503,785424,45 Biggest Movers From Friday,2018-01-29 04:17:00-05:00,LTBR,Stock Trends,0.10108754,Market Trends,0.289871842,
957,721859,57 Biggest Movers From Yesterday,2017-11-09 05:16:00-05:00,KBSF,Stock Trends,0.101181179,Market Trends,0.320417851,
401,82437,SunTrust's Bob Peck Says 'Remain on Sidelines' With AOL,2015-02-12 10:42:00-05:00,AOL,Fund Activities,0.101919591,Company News,0.393872648,
537,37646,UPDATE: JP Morgan Initiates Aetna at Neutral on Elusive Visibility  ,2012-06-13 10:36:00-04:00,AET,Stock Trends,0.102958672,Company News,0.335915208,
454,441336,"Benzinga's Top ETF Gainers, March 17th (DZK, ERX, EZJ, DAG)",2011-03-17 18:57:00-04:00,ETF,Fund Activities,0.104425028,Market Trends,0.316039681,
274,1122396,90 Biggest Movers From Yesterday,2020-02-06 05:15:00-05:00,SD,Stock Trends,0.104478262,Market Trends,0.333477229,
376,715472,Jim Cramer Breaks Down Retail's Biggest Problems,2017-05-12 11:36:00-04:00,JWN,Leadership,0.104490466,Company News,0.451796472,
328,804815,Teens Rank Corporations By Coolness; Do Rankings Correlate To Success?,2017-04-04 09:09:00-04:00,MCD,Consumer Sentiment,0.104556747,Market Trends,0.211672276,
13,657874,Independence Holding Co. Raises Semi-Annual Dividend From $0.06 to $0.10/Share,2017-12-20 16:18:00-05:00,IHC,Fund Activities,0.10580641,Company News,0.324748635,
393,47621,"Joe Terranova Likes Agrium (AGU) And Mosaic (MOS), Dislikes Monsanto (MON)",2010-10-25 19:13:00-04:00,AGU,Leadership,0.105990514,Company News,0.271961242,
301,327501,U.S. State Department Says Concerned About Reports of New China Cyber-Capability Targeting Internet Content Outside China -Reuters,2015-05-08 11:33:00-04:00,CYBR,Leadership,0.1063269,Global Events,0.414034426,
469,920098,"Insight Is Placed In Gartner’s Magic Quadrant (NSIT, IT)",2010-08-18 09:30:00-04:00,NSIT,Tech Developments,0.106431678,Market Trends,0.232770011,
479,554008,Hilliard Lyons Downgrades Gladstone Capital Corporation to Underperform,2013-08-01 14:38:00-04:00,GLAD,Fund Activities,0.106808461,Company News,0.427194446,
575,1282308,"Benzinga's Top ETF Gainers, October 7th (FAZ, DRV, TZA, ZSL)",2011-10-07 18:44:00-04:00,TZA,Asset Trends,0.107385918,Market Trends,0.293327689,
580,812783,56 Biggest Movers From Yesterday,2019-02-05 04:26:00-05:00,MDLY,Stock Trends,0.107603841,Market Trends,0.322370172,
581,812783,56 Biggest Movers From Yesterday,2019-02-05 04:26:00-05:00,MDLY,Stock Trends,0.107603841,Market Trends,0.322370172,
582,227470,56 Biggest Movers From Yesterday,2018-02-23 05:17:00-05:00,CECO,Stock Trends,0.107603841,Market Trends,0.322370172,
583,227470,56 Biggest Movers From Yesterday,2018-02-23 05:17:00-05:00,CECO,Stock Trends,0.107603841,Market Trends,0.322370172,
937,1083353,KeyBanc Initiates Coverage On Regis with Sector Weight Rating,2017-12-21 05:59:00-05:00,RGS,Leadership,0.107763603,Company News,0.353380859,
319,1117478,Star Bulk To Sell Capesize Vessel For $37M,2016-01-21 09:00:00-05:00,SBLK,Earnings,0.108618036,Company News,0.447869092,
1171,489188,Market Internals Strengthen in the Face of Weak Economic News,2010-06-17 21:31:00-04:00,FDX,Asset Trends,0.108751215,Economic Indicators,0.531983733,
261,140768,Sterne Agee Maintains Neutral on Bed Bath & Beyond (BBY),2011-04-07 09:35:00-04:00,BBBY,Stock Trends,0.109668262,Company News,0.308198988,
1032,358086,"Benzinga's Top Upgrades, Downgrades For April 15, 2020",2020-04-15 09:39:00-04:00,DHI,Stock Trends,0.10997203,Investment News,0.257265419,
179,694004,58 Biggest Movers From Yesterday,2019-07-17 04:59:00-04:00,JBHT,Stock Trends,0.110104248,Market Trends,0.342121363,
180,694004,58 Biggest Movers From Yesterday,2019-07-17 04:59:00-04:00,JBHT,Stock Trends,0.110104248,Market Trends,0.342121363,
181,1168181,58 Biggest Movers From Yesterday,2019-04-02 05:45:00-04:00,SORL,Stock Trends,0.110104248,Market Trends,0.342121363,
182,1168181,58 Biggest Movers From Yesterday,2019-04-02 05:45:00-04:00,SORL,Stock Trends,0.110104248,Market Trends,0.342121363,
40,1315944,PiperJaffray Downgrades Valley National to Neutral,2016-08-08 06:54:00-04:00,VLY,Stock Trends,0.110119186,Company News,0.325226873,
907,1112580,SAExploration Shares to Resume Trade at 4:45 p.m. EDT,2016-06-13 16:22:00-04:00,SAEX,Stock Trends,0.110219821,Investment News,0.319587499,
134,665063,"Incyte PDUFA Date Pushed Back, JMP Discusses Impact",2017-01-17 08:13:00-05:00,INCY,Legal & Regulatory,0.110684447,Company News,0.599411786,
612,111569,"Benzinga's Top ETF Gainers, January 26th (KOLD, ERY, TMF, NUGT)",2012-01-26 19:40:00-05:00,AU,Energy Updates,0.11093995,Market Trends,0.305775791,
546,464020,Fitch Affirms UK at 'AA+'; Outlook Stable,2013-12-18 12:35:00-05:00,EWU,Leadership,0.111101843,Industry Updates,0.191079363,
140,596921,Was The Baker Hughes/Halliburton Breakup A Win-Win?,2016-05-03 11:44:00-04:00,HAL,Fund Activities,0.111159638,Company News,0.218304217,
548,31263,Advaxis shares are trading lower after the company priced its 10 million share registered direct offering at $1.05 per share.,2020-01-21 09:10:00-05:00,ADXS,Stock Trends,0.111341782,Company News,0.301478148,
1017,18694,Acorda Halted News Pending,2017-03-31 12:09:00-04:00,ACOR,Leadership,0.111574359,Company News,0.334592938,
998,1040877,Option Alert: PTEN Sep16 19.0 Puts Sweep: 2091 @  ASK  $0.30: 2091 traded vs 688 OI: $20.05 Ref,2016-09-02 09:56:00-04:00,PTEN,Investment Strategies,0.111731641,Market Trends,0.229858741,
814,1396927,Yelp shares are trading lower after Morgan Stanley downgraded the stock from equal-weight to underperform and lowered its price target from $31 to $29.,2019-01-10 09:13:00-05:00,YELP,Investment Strategies,0.112025499,Investment News,0.390290827,
1174,440736,Top Percentage Gainers and Losers as of 2pm 6/24/11,2011-06-24 14:03:00-04:00,ETE,Stock Trends,0.112280004,Market Trends,0.319668651,
749,1153685,61 Biggest Movers From Yesterday,2019-08-15 05:57:00-04:00,SM,Stock Trends,0.113488697,Market Trends,0.322350293,
911,78875,96 Biggest Movers From Yesterday,2020-04-28 04:22:00-04:00,ANF,Stock Trends,0.113500021,Market Trends,0.319545597,
757,175942,Bristol-Myers Squibb to Present New Research Findings on the Treatment of Patients with Early RA at EULAR 2018,2018-06-13 06:09:00-04:00,BMY,Leadership,0.113634564,Company News,0.398228824,
468,1134814,"SunTrust Robinson Humphrey Initiates Coverage on ShoreTel, Inc. at Neutral, Announces $7.50 PT",2014-06-10 06:43:00-04:00,SHOR,Stock Trends,0.113871932,Investment News,0.380643487,
941,672506,Identiv Shares To Resume Trade At 1:53:36 p.m. EST,2017-12-21 13:52:00-05:00,INVE,Investment Strategies,0.113975033,Investment News,0.310697794,
1074,509182,74 Biggest Movers From Yesterday,2019-11-13 04:42:00-05:00,FOE,Stock Trends,0.11399284,Market Trends,0.325090915,
410,252585,78 Biggest Movers From Yesterday,2020-04-15 04:45:00-04:00,CLMT,Stock Trends,0.114586398,Market Trends,0.317114711,
221,224511,"JP Morgan Maintains Neutral on Cogent Comms Hldgs, Raises Price Target to $61",2019-11-08 08:24:00-05:00,CCOI,Stock Trends,0.114637904,Investment News,0.410466939,
741,253153,Clean Energy Fuels Spokesperson Attributes Spike to Shell Deal with TravelCenters of America and Short Covering in CLNE,2012-06-07 14:30:00-04:00,CLNE,Stock Trends,0.115116015,Company News,0.642746389,
691,651484,"NICE Recommends Ocaliva  for the Treatment of Patients with Primary Biliary Cholangitis in England, Wales and Northern Ireland -",2017-03-02 04:46:00-05:00,ICPT,Leadership,0.116087072,Industry Updates,0.214134872,
887,216062,Rumor of China Bak Battery Deal with Kandi Denied by Company's Investor Relations Department,2013-06-06 12:38:00-04:00,CBAK,Asset Trends,0.116124772,Investment News,0.332001269,
789,677131,Monness Crespi Hardt Downgrades Innophos Holdings to Neutral,2015-02-19 07:50:00-05:00,IPHS,Investment Strategies,0.116215728,Investment News,0.384739071,
900,283400,CoreSite Realty Trust Raises Qtr. Dividend from $0.18 to $0.27/Share,2012-11-26 16:33:00-05:00,COR,Earnings,0.117067724,Company News,0.325995117,
1093,868049,Wells Fargo Lowers MTN Rating To Market Perform From Outperform,2011-01-11 11:13:00-05:00,MTN,Fund Activities,0.11741069,Company News,0.536992967,
187,819981,MetLife Raises Qtr. Dividend From $0.44 To $0.46/Share,2020-04-28 16:21:00-04:00,MET,Stock Trends,0.118060842,Company News,0.435552865,
705,1390962,Benzinga's Top Downgrades,2015-07-02 09:32:00-04:00,XOOM,Stock Trends,0.119044699,Company News,0.254345894,
706,1390962,Benzinga's Top Downgrades,2015-07-02 09:32:00-04:00,XOOM,Stock Trends,0.119044699,Company News,0.254345894,
707,1390962,Benzinga's Top Downgrades,2015-07-02 09:32:00-04:00,XOOM,Stock Trends,0.119044699,Company News,0.254345894,
708,1390962,Benzinga's Top Downgrades,2015-07-02 09:32:00-04:00,XOOM,Stock Trends,0.119044699,Company News,0.254345894,
709,1390962,Benzinga's Top Downgrades,2015-07-02 09:32:00-04:00,XOOM,Stock Trends,0.119044699,Company News,0.254345894,
710,1390962,Benzinga's Top Downgrades,2015-07-02 09:32:00-04:00,XOOM,Stock Trends,0.119044699,Company News,0.254345894,
711,933552,Benzinga's Top Downgrades,2016-02-08 09:38:00-05:00,NVO,Stock Trends,0.119044699,Company News,0.254345894,
712,933552,Benzinga's Top Downgrades,2016-02-08 09:38:00-05:00,NVO,Stock Trends,0.119044699,Company News,0.254345894,
713,933552,Benzinga's Top Downgrades,2016-02-08 09:38:00-05:00,NVO,Stock Trends,0.119044699,Company News,0.254345894,
714,933552,Benzinga's Top Downgrades,2016-02-08 09:38:00-05:00,NVO,Stock Trends,0.119044699,Company News,0.254345894,
715,933552,Benzinga's Top Downgrades,2016-02-08 09:38:00-05:00,NVO,Stock Trends,0.119044699,Company News,0.254345894,
716,933552,Benzinga's Top Downgrades,2016-02-08 09:38:00-05:00,NVO,Stock Trends,0.119044699,Company News,0.254345894,
717,768856,Benzinga's Top Downgrades,2011-11-01 07:40:00-04:00,LM,Stock Trends,0.119044699,Company News,0.254345894,
718,768856,Benzinga's Top Downgrades,2011-11-01 07:40:00-04:00,LM,Stock Trends,0.119044699,Company News,0.254345894,
719,768856,Benzinga's Top Downgrades,2011-11-01 07:40:00-04:00,LM,Stock Trends,0.119044699,Company News,0.254345894,
720,768856,Benzinga's Top Downgrades,2011-11-01 07:40:00-04:00,LM,Stock Trends,0.119044699,Company News,0.254345894,
721,768856,Benzinga's Top Downgrades,2011-11-01 07:40:00-04:00,LM,Stock Trends,0.119044699,Company News,0.254345894,
722,768856,Benzinga's Top Downgrades,2011-11-01 07:40:00-04:00,LM,Stock Trends,0.119044699,Company News,0.254345894,
723,1264729,Benzinga's Top Downgrades,2016-01-05 09:27:00-05:00,TSN,Stock Trends,0.119044699,Company News,0.254345894,
724,1264729,Benzinga's Top Downgrades,2016-01-05 09:27:00-05:00,TSN,Stock Trends,0.119044699,Company News,0.254345894,
725,1264729,Benzinga's Top Downgrades,2016-01-05 09:27:00-05:00,TSN,Stock Trends,0.119044699,Company News,0.254345894,
726,1264729,Benzinga's Top Downgrades,2016-01-05 09:27:00-05:00,TSN,Stock Trends,0.119044699,Company News,0.254345894,
727,1264729,Benzinga's Top Downgrades,2016-01-05 09:27:00-05:00,TSN,Stock Trends,0.119044699,Company News,0.254345894,
728,1264729,Benzinga's Top Downgrades,2016-01-05 09:27:00-05:00,TSN,Stock Trends,0.119044699,Company News,0.254345894,
729,73729,Benzinga's Top Downgrades,2013-12-03 08:47:00-05:00,AMRI,Stock Trends,0.119044699,Company News,0.254345894,
730,73729,Benzinga's Top Downgrades,2013-12-03 08:47:00-05:00,AMRI,Stock Trends,0.119044699,Company News,0.254345894,
731,73729,Benzinga's Top Downgrades,2013-12-03 08:47:00-05:00,AMRI,Stock Trends,0.119044699,Company News,0.254345894,
732,73729,Benzinga's Top Downgrades,2013-12-03 08:47:00-05:00,AMRI,Stock Trends,0.119044699,Company News,0.254345894,
733,73729,Benzinga's Top Downgrades,2013-12-03 08:47:00-05:00,AMRI,Stock Trends,0.119044699,Company News,0.254345894,
734,73729,Benzinga's Top Downgrades,2013-12-03 08:47:00-05:00,AMRI,Stock Trends,0.119044699,Company News,0.254345894,
735,1371567,Benzinga's Top Downgrades,2014-11-17 08:54:00-05:00,WTSL,Stock Trends,0.119044699,Company News,0.254345894,
736,1371567,Benzinga's Top Downgrades,2014-11-17 08:54:00-05:00,WTSL,Stock Trends,0.119044699,Company News,0.254345894,
737,1371567,Benzinga's Top Downgrades,2014-11-17 08:54:00-05:00,WTSL,Stock Trends,0.119044699,Company News,0.254345894,
738,1371567,Benzinga's Top Downgrades,2014-11-17 08:54:00-05:00,WTSL,Stock Trends,0.119044699,Company News,0.254345894,
739,1371567,Benzinga's Top Downgrades,2014-11-17 08:54:00-05:00,WTSL,Stock Trends,0.119044699,Company News,0.254345894,
740,1371567,Benzinga's Top Downgrades,2014-11-17 08:54:00-05:00,WTSL,Stock Trends,0.119044699,Company News,0.254345894,
1,102011,"Asterias Provides 6 Mo. Data Readout From Its AST-OPC1 Phase 1/2a Clinical Trial, Says Results Continue to Demonstrate Favorable Safety Profile, Potential for Durable Cell Engraftment at the Injury Site and Improved Motor Function",2018-07-17 07:05:00-04:00,AST,Asset Trends,0.119092807,Company News,0.419818103,
1150,655669,"ETFs To Watch March 1, 2010 (RKH, GUR, EEM, BDD)",2010-03-01 03:32:00-05:00,IEZ,Investment Strategies,0.119333729,Investment News,0.365856677,
846,164574,"SunTrust Robinson Humphrey Maintains Buy on Option Care Health, Raises Price Target to $4.25",2019-09-20 08:39:00-04:00,BIOS,Investment Strategies,0.1195805,Investment News,0.374429971,
1010,1290180,"Goldman Sachs Initiates Coverage On Ultrapar Participacoes with Neutral Rating, Announces $4.7 Price Target",2019-10-03 06:49:00-04:00,UGP,Investment Strategies,0.119839683,Investment News,0.452192664,
1066,412105,"Morgan Stanley Initiates Coverage on Energen at Equal-weight, Announces $66.00 PT",2015-03-26 04:47:00-04:00,EGN,Stock Trends,0.120294161,Investment News,0.510540843,
1105,771901,UPDATE: Pentagon Suspension Related to Cracked Turbine Blades,2013-02-22 14:30:00-05:00,LMT,Energy Updates,0.120377712,Industry Updates,0.385403752,
791,41863,"Gilead, Agenus Report Collaboration Deal To Develop Immuno-Oncology Therapies; Agenus To Receive $150M",2018-12-20 07:31:00-05:00,AGEN,Healthcare Innovations,0.120682545,Company News,0.52449131,Healthcare Innovations
1131,1190134,"UPS, Stamps.com Report New Collaboration To Provide Co. Customer Base To Specially Discounted UPS Shipping Rates",2019-10-21 16:12:00-04:00,STMP,Leadership,0.120803952,Company News,0.510982335,
488,700256,"Citigroup Upgrades J.C. Penney Company, Inc. Holding Company to Buy",2014-03-11 07:55:00-04:00,JCP,Banking News,0.120812349,Company News,0.382189482,
681,282553,"A Look Ahead: Next Week's ETFs to Watch (IYW, XLE, UGA)",2012-04-20 16:27:00-04:00,COP,Asset Trends,0.120987073,Market Trends,0.249399289,
1034,1211001,"Benzinga's Top ETF Decliners, August 17th (BHH, TMV, BZQ, TAN)",2011-08-17 18:34:00-04:00,TAN,Fund Activities,0.121083997,Market Trends,0.341179222,
657,1147865,"Notable Conferences Benzinga Newsdesk Is Watching Sept. 20, '16: Johnson Rice Energy Conference, Deutsche Bank Energy Summit, Scotiabank Fertilizer, Chemicals Conference, Goldman's Communacopia Conference",2016-09-20 10:14:00-04:00,SLB,Leadership,0.121303335,Global Events,0.232603326,
584,411538,"Morning Losers for Mar. 3, 2014: YNDX, CETV, AKRX, CPST, LIVE",2014-03-03 10:43:00-05:00,EGLE,Stock Trends,0.121422186,Investment News,0.215455696,
697,306045,Macquarie Downgrades Cash America Intl to Underperform,2015-04-21 09:19:00-04:00,CSH,Banking News,0.121677473,Investment News,0.445245266,
1062,488341,FedEx Ground to Increase Shipping 2014 Rates by Average of 4.9%,2013-12-05 16:01:00-05:00,FDX,Asset Trends,0.121691689,Company News,0.424786061,
967,1158928,Market Has Gas in Tank  04-25-2011,2011-04-25 16:43:00-04:00,SNDK,Energy Updates,0.121991903,Market Trends,0.243979514,
596,913455,Afternoon Market Update,2010-06-16 13:40:00-04:00,NOK,Stock Trends,0.122169398,Market Trends,0.668371141,
805,148652,Vertical Group Downgrades Balchem to Hold,2018-05-07 07:14:00-04:00,BCPC,Fund Activities,0.122394502,Company News,0.369950294,
288,542518,15 Biggest Mid-Day Gainers For Wednesday,2016-11-09 12:33:00-05:00,GEO,Stock Trends,0.122415826,Market Trends,0.246463507,
46,672584,"Identive Group, Inc. Sees Q3 Sales $21.0M-23.0M, Reaffirms FY14 Outlook; Will Buyback Up to $5M",2014-10-10 09:00:00-04:00,INVE,Earnings,0.122718617,Company News,0.55339396,
862,1195037,Constellation Brands Expands Partnership With MicroStar: MicroStar To Be Co.'s New Keg Solutions Provider,2019-02-15 09:03:00-05:00,STZ,Leadership,0.123393737,Company News,0.55109638,
555,965792,Credit Suisse Downgrades Oshkosh to Underperform,2015-03-02 07:20:00-05:00,OSK,Employment,0.123739228,Company News,0.30139789,
502,1154781,JP Morgan Downgrades Scotts Miracle-Gro To Neutral,2016-03-22 10:04:00-04:00,SMG,Stock Trends,0.123801686,Company News,0.420112342,
588,584005,"Wells Fargo Maintains Market Perform on GrubHub, Lowers Price Target to $110",2018-10-26 10:17:00-04:00,GRUB,Banking News,0.124214746,Company News,0.459184825,
191,652616,Idera Pharmaceuticals Presents Data from the ILLUMINATE-204 Trial of the Combination of Tilsotolimod and Ipilimumab for Unresectable or Metastatic Melanoma Following Failure of PD-1 Inhibitor Treatment at ESMO 2018,2018-10-19 06:04:00-04:00,IDRA,Healthcare Innovations,0.124319248,Company News,0.435001493,
935,919118,Canadian Pacific Reports Filing of Definitive Proxy Statement Related to Holder Proposal for Norfolk Southern Annual Meeting,2016-03-29 16:52:00-04:00,NSC,Legal & Regulatory,0.124397241,Company News,0.650150597,
1046,431973,"Benzinga's Top Upgrades, Downgrades For November 8, 2019",2019-11-08 09:33:00-05:00,EQT,Stock Trends,0.124446981,Market Trends,0.256351173,
896,1267123,TSYS Signs Agreement With CreditShop To Provide Payment Services for New Mercury Mastercard,2018-06-27 09:13:00-04:00,TSS,Banking News,0.124560803,Company News,0.470733255,
482,816329,"Benzinga’s News Update (WIN, SIG, MDT, AEO, DLTR, BGP, C)",2009-11-24 09:44:00-05:00,MDT,Stock Trends,0.124755211,Market Trends,0.293424606,
162,955794,Sterne Agee Lowers PT On Old National Bancorp To $13,2011-09-08 07:30:00-04:00,ONB,Banking News,0.124940217,Investment News,0.447909445,
786,587001,Goldman Sachs Maintains Valeant Pharmceuticals Rating And PT,2010-12-02 08:36:00-05:00,GSK,Stock Trends,0.125155106,Investment News,0.351692826,
650,299199,Cardiome Wins Approval for Brinavess in Turkey,2013-09-25 08:46:00-04:00,CRME,Consumer Sentiment,0.1255963,Company News,0.33489421,
987,678167,Goldman Sachs Lowers PT on Impax Laboratories from $20 to $19,2012-07-06 06:25:00-04:00,IPXL,Earnings,0.125625059,Company News,0.269533336,
121,1407398,Horsehead Expects Noncash Charges Related to Hedging Transactions; Adjustment of $0.23/Share,2011-07-11 09:33:00-04:00,ZINC,Leadership,0.125692546,Company News,0.339294136,
455,237428,"Benzinga's Top Upgrades, Downgrades For August 8, 2019",2019-08-08 09:48:00-04:00,CHK,Stock Trends,0.125750333,Market Trends,0.241779476,
683,814113,Medical Devices Industry Outlook - August 2010 - Industry Outlook,2010-08-24 19:15:00-04:00,MDRX,Healthcare Innovations,0.126697853,Industry Updates,0.413260043,
170,1109395,UPDATE: Deutsche Bank Lowers PT on Riverbed Technology to $31,2011-07-20 08:57:00-04:00,RVBD,Banking News,0.126789287,Company News,0.30682528,
1166,1304068,JMP Securities Downgrades Marriott Vacations To Market Perform,2015-05-29 08:51:00-04:00,VAC,Leadership,0.12683247,Company News,0.451591939,
132,697086,"News Summary (NBR, AMR, DAL, JBLU, ADBE)",2010-09-22 11:18:00-04:00,JBLU,Stock Trends,0.126868203,Company News,0.421939582,
460,144146,BlackBerry Files Suit Against Typo,2014-01-03 12:27:00-05:00,BBRY,Legal & Regulatory,0.126980662,Company News,0.325354844,
1108,129987,"Benzinga's Top Upgrades, Downgrades For April 23, 2019",2019-04-23 09:10:00-04:00,AZPN,Stock Trends,0.127691045,Market Trends,0.263257921,
613,114316,JP Morgan Upgrades AvalonBay Communities to Overweight,2019-12-18 06:01:00-05:00,AVB,Banking News,0.127894312,Company News,0.374417782,
853,89288,"Antero Resources And Antero Midstream GP LP Announces Formation of Special Committee To Explore, Review And Evaluate Potential Measures Related To Its Valuation And May Include Transactions Involving AMGP",2018-02-26 07:31:00-05:00,AR,Leadership,0.128096342,Company News,0.537339449,
772,1083132,"Report of Armed Suspect in Meridian, ID",2013-02-14 11:44:00-05:00,RGR,GDP,0.128154799,Company News,0.316789359,
394,497527,Hilliard Lyons Upgrades Fifth Third Bancorp to Neutral,2016-01-25 10:33:00-05:00,FITB,Stock Trends,0.128399074,Company News,0.379100949,
1182,1250935,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,TRGP,Stock Trends,0.128480539,Investment News,0.286894321,
312,72955,"Company News for November 29, 2010 - Corporate Summary",2010-11-29 04:23:00-05:00,AMP,Earnings,0.12888284,Company News,0.965927362,
260,195932,13D Filing: Discovery Group I Reports New 5.5% Stake,2015-03-20 16:30:00-04:00,BV,Stock Trends,0.12892893,Company News,0.396702588,
1152,200725,"Amended 13D Filing from Orange Capital on Bellatrix Exploration Shows 13.5% Stake, Firm Had Shown 12.43% Stake as of Nov. 11th, 2014",2014-12-03 10:59:00-05:00,BXE,Fund Activities,0.129138172,Investment News,0.344520032,
951,852381,Berenberg Initiates Coverage on Merck & Co at Buy,2015-11-24 05:19:00-05:00,MRK,Stock Trends,0.129206851,Investment News,0.437693983,
755,343787,"Filing from DuPont Shows Letter from Nelson Peltz of Trian, Co. Says 'Pleased' to Receive Feedback from Shareholders, Mgmt 'Remains Open to Discussion of Realistic Settlement'",2015-03-16 09:12:00-04:00,DD,Leadership,0.12936008,Company News,0.483531684,
233,30210,A Peek Into The Market Before The Trading Starts,2012-06-19 07:12:00-04:00,ADSK,Stock Trends,0.129896238,Market Trends,0.405760318,
234,30210,A Peek Into The Market Before The Trading Starts,2012-06-19 07:12:00-04:00,ADSK,Stock Trends,0.129896238,Market Trends,0.405760318,
235,30210,A Peek Into The Market Before The Trading Starts,2012-06-19 07:12:00-04:00,ADSK,Stock Trends,0.129896238,Market Trends,0.405760318,
236,30210,A Peek Into The Market Before The Trading Starts,2012-06-19 07:12:00-04:00,ADSK,Stock Trends,0.129896238,Market Trends,0.405760318,
237,30210,A Peek Into The Market Before The Trading Starts,2012-06-19 07:12:00-04:00,ADSK,Stock Trends,0.129896238,Market Trends,0.405760318,
